Name,Type,Address,Contact,Note,zip,gcode,lat,lon
DHS Medical Field Operations Central - TEMPORARILY WORKING REMOTELY,Family Community Resource Center,"1642 W 59th St Chicago, IL 60636",Phone: (773) 863-6339 TTY: None Fax: (773) 863-6307,"Due to the Coronavirus situation, this Family Community Resource Center is temporarily working remotely.Please visit ABE.Illinois.gov or call the IDHS Help is Here toll-free line at 1-833-2-FIND-HELP.",60636,"Illinois DHS Family Community Resource Center, 1642, West 59th Street, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",41.7870457,-87.66625405822347
DHS Medical Management Unit - TEMPORARILY WORKING REMOTELY,Family Community Resource Center,"527 S Wells St Chicago, IL 60607",Phone: (312) 793-2152 TTY: None Fax: (312) 814-1651,"Due to the Coronavirus situation, this Family Community Resource Center is temporarily working remotely.Please visit ABE.Illinois.gov or call the IDHS Help is Here toll-free line at 1-833-2-FIND-HELP.",60607,"Hunter Building, 527, South Wells Street, Printer's Row, Loop, Chicago, Cook County, Illinois, 60607, United States",41.8752004,-87.6333272496226
Department of Human Services Main Office - Chicago,Administrative Offices,"401 South Clinton Street Chicago, IL 60607",Phone: (800) 843-6154 TTY: (800) 447-6404,No direct services provided at this location.,60607,"Illinois Department of Human Services, 401, South Clinton Street, Greektown, Near West Side, Chicago, Cook County, Illinois, 60607, United States",41.8763329,-87.64068195
Aunt Martha's Health and Wellness Inc.,Better Birth Outcomes,"233 W Joe Orr Rd Chicago Heights, IL 60411",Phone: (708) 679-8102 TTY: None Fax: (708) 747-8135  Website: www.auntmarthas.org,,60411,"Community Health Fairs, 233, West Joe Orr Road, Chicago Heights, Bloom Township, Cook County, Illinois, 60411, United States",41.5209518,-87.6524482
Aunt Martha's Health and Wellness Inc.- Pediatric Health and Wellness Center,Better Birth Outcomes,"500 Dixie Hwy Chicago Heights, IL 60411",Phone: (708) 679-8102 TTY: None Fax: (708) 747-8135  Website: www.auntmarthas.org,,60411,"Aunt Martha's Chicago Heights Pediatric Health and Wellness Center, 500, Dixie Highway, Chicago Heights, Bloom Township, Cook County, Illinois, 60411, United States",41.5220766,-87.6520314
Austin People's Action Center,Better Birth Outcomes,"5125 W. Chicago Ave. Chicago, IL 60644",Phone: (773) 921-2121 TTY: None,,60644,"5125, West Chicago Avenue, Moreland, Austin, Chicago, Cook County, Illinois, 60651, United States",41.89487,-87.754212
Austin People's Action Center Parkside,Better Birth Outcomes,"302 N. Parkside Chicago, IL 60644",Phone: (773) 921-2121 TTY: None,,60644,"Parkside, South Shore, Chicago, Hyde Park Township, Cook County, Illinois, United States",41.7710801,-87.58378618239189
Austin People's Action Center-Main/Admin.,Better Birth Outcomes,"5931 W. Corcoran Place Chicago, IL 60644",Phone: (773) 921-2121 TTY: None,,60644,"5931, West Corcoran Place, Austin, Chicago, Cook County, Illinois, 60644, United States",41.887015687499996,-87.77321806249999
Catholic Charities - Jadonal E. Ford Center,Better Birth Outcomes,"11255 S Michigan Ave Chicago, IL 60628",Phone: (773) 995-1737 TTY: None Fax: (773) 995-0125  Website: www.catholiccharities.net,,60628,"11255, South Michigan Avenue, Roseland, West Pullman, Chicago, Hyde Park Township, Cook County, Illinois, 60628, United States",41.69030888191264,-87.62091106661765
Catholic Charities of the Archdiocese of Chicago,Better Birth Outcomes,"11255 S State St Chicago, IL 60628",Phone: (773) 995-1737 TTY: None Fax: (773) 995-0125  Website: www.catholiccharities.net,,60628,"11255, South State Street, Roseland, Chicago, Lake Township, Cook County, Illinois, 60628, United States",41.69010091585702,-87.62292070858581
Erie Division Street Health Center,Better Birth Outcomes,"2418 W Division St Chicago, IL 60622",Phone: (312) 666-3494 TTY: None Fax: (312) 666-6228  Website: www.eriefamilyhealth.org,,60622,"2418, West Division Street, West Town, Chicago, Cook County, Illinois, 60622, United States",41.903088607041276,-87.68806807894562
Erie Helping Hands Health Center,Better Birth Outcomes,"4747 N. Kedzie Ave. Chicago, IL 60625",Phone: (312) 666-3491 TTY: None Fax: (312) 666-6228  Website: www.eriefamilyhealth.org,,60625,"4747-4751, North Kedzie Avenue, Ravenswood Manor, Albany Park, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",41.9680941,-87.70811429631433
Erie Humboldt Park Health Center,Better Birth Outcomes,"2750 W North Ave Chicago, IL 60647",Phone: (312) 666-3494 TTY: None Fax: (312) 666-6228  Website: www.eriefamilyhealth.org,,60647,"2750, West North Avenue, West Town, Chicago, Cook County, Illinois, 60647, United States",41.91031910300217,-87.69620217656289
Erie Teen & Young Adult Center,Better Birth Outcomes,"2418 W Division St Chicago, IL 60622",Phone: (312) 666-3494 TTY: None Fax: (312) 666-6228  Website: www.eriefamilyhealth.org,,60622,"2418, West Division Street, West Town, Chicago, Cook County, Illinois, 60622, United States",41.903088607041276,-87.68806807894562
Firman Community Services,Better Birth Outcomes,"37 W 47th St Chicago, IL 60609",Phone: (773) 373-3400 TTY: None Fax: (773) 373-3602  Website: www.firmancs.org,,60609,"37, West 47th Street, Grand Boulevard, Chicago, Lake Township, Cook County, Illinois, 60609, United States",41.80912722330725,-87.62750207737592
Firman Community Services,Better Birth Outcomes,"4705 S State St Chicago, IL 60609",Phone: (773) 373-3400 TTY: None Fax: (773) 373-6749  Website: www.firmancs.org,,60609,"4705, South State Street, Grand Boulevard, Chicago, Lake Township, Cook County, Illinois, 60609, United States",41.80904979420171,-87.62596917973254
Firman Community Services,Better Birth Outcomes,"1645 Cottage Grove Ave Ford Heights, IL 60411",Phone: (847) 632-1515 TTY: None Fax: (847) 632-1515  Website: www.firmancs.org,WIC Screening Site,60411,"Cottage Grove Health Center, 1645, Cottage Grove Avenue, Ford Heights, Bloom Township, Cook County, Illinois, 60411, United States",41.50417025,-87.59647844912865
Lawndale Christian Health Center - Archer,Better Birth Outcomes,"5122 S Archer Ave Chicago, IL 60632",Phone: (872) 588-3560 TTY: None Fax: (872) 588-3001  Website: lawndale.org,,60632,"5122, South Archer Avenue, Archer Heights, Chicago, Lake Township, Cook County, Illinois, 60632, United States",41.80071772099977,-87.73031494892186
Lawndale Christian Health Center - Breakthrough,Better Birth Outcomes,"3219 W Carroll Ave Chicago, IL 60624",Phone: (872) 588-3580 TTY: None Fax: (872) 588-3001  Website: lawndale.org,,60624,"Bridge Cafe, 3219, West Carroll Avenue, East Garfield Park, Chicago, Cook County, Illinois, 60624, United States",41.8873854,-87.7074544
Lawndale Christian Health Center - Farragut Career Academy,Better Birth Outcomes,"3256 W 24th St Chicago, IL 60623",Phone: (872) 588-3540 TTY: None Fax: (872) 588-3001  Website: lawndale.org,,60623,"3256, West 24th Street, Crawford, South Lawndale, Chicago, Cook County, Illinois, 60623, United States",41.84820253392707,-87.70668643935454
Lawndale Christian Health Center - Health and Fitness Center,Better Birth Outcomes,"3750 Ogden Ave Chicago, IL 60623",Phone: (872) 588-3000 TTY: None Fax: (872) 588-3001  Website: lawndale.org,,60623,"Lawndale Christian Health & Fitness Center, 3750, West Ogden Avenue, North Lawndale, Chicago, Cook County, Illinois, 60623, United States",41.853430700000004,-87.71909920439651
Lawndale Christian Health Center - Homan Square,Better Birth Outcomes,"3517 W Arthington St Chicago, IL 60624",Phone: (872) 588-3510 TTY: None Fax: (872) 588-3001  Website: lawndale.org,,60624,"Green Garden Cafe, 3517, West Arthington Street, North Lawndale, Chicago, Cook County, Illinois, 60624, United States",41.8692223,-87.7134121
Lawndale Christian Health Center - Main Clinic,Better Birth Outcomes,"3860 Ogden Ave Chicago, IL 60623",Phone: (872) 588-3000 TTY: None Fax: (872) 588-3001  Website: lawndale.org,,60623,"Lawndale Christian Health Center Main Clinic, 3860, West Ogden Avenue, North Lawndale, Chicago, Cook County, Illinois, 60623, United States",41.8525733,-87.72179108696537
Near North Health Service Corporation - Komed Holman Health Center,Better Birth Outcomes,"4259 S Berkeley Ave Chicago, IL 60653",Phone: (773) 268-7600 TTY: None Fax: (773) 268-9088  Website: https://www.nearnorthhealth.org/,,60653,"4259, South Berkeley Avenue, Oakland, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",41.81760591078203,-87.60052858859977
Near North Health Service Corporation - Louise Landau Health Center,Better Birth Outcomes,"800 N Kedzie Ave Chicago, IL 60651",Phone: (773) 862-3450 TTY: None Fax: (773) 826-3993  Website: https://www.nearnorthhealth.org/,,60651,"Chase, 800, North Kedzie Avenue, Humboldt Park, Chicago, Cook County, Illinois, 60651, United States",41.8968432,-87.7072273
Near North Health Service Corporation - North Kostner Health Center,Better Birth Outcomes,"1520 N Kostner Ave Chicago, IL 60651",Phone: (312) 216-8020 TTY: None Fax: (773) 252-4876  Website: https://www.nearnorthhealth.org/,,60651,"North Kostner Health Clinic, 1520, North Kostner Avenue, Beat 2523, Humboldt Park, Chicago, Cook County, Illinois, 60651, United States",41.90848715,-87.73675964754298
Near North Health Service Corporation - Winfield Moody Health Center,Better Birth Outcomes,"1276 N Clybourn Ave Chicago, IL 60610",Phone: (312) 337-1073 TTY: None Fax: (312) 337-7616  Website: https://www.nearnorthhealth.org/,,60610,"Winfield Moody Health Center, 1276, North Clybourn Avenue, River North, Near North Side, Chicago, Cook County, Illinois, 60610, United States",41.905230700000004,-87.64223467590574
Near North Health Service Corporation-Cottage View,Better Birth Outcomes,"4829 S. Cottage Grove Ave. Chicago, IL 60615",Phone: (773) 268-7600 TTY: None Fax: (773) 268-9088  Website: www.nearnorthhealth.org,,60615,"4829, South Cottage Grove Avenue, Kenwood, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",41.807143282542995,-87.60640343478117
Near North Health Service Corporation-North Milwaukee,Better Birth Outcomes,"2844 N. Milwaukee Ave. Chicago, IL 60618",Phone: (773) 268-7600 TTY: None Fax: (773) 268-9088  Website: www.nearnorthhealth.org,,60618,"2844, North Milwaukee Avenue, Beat 2523, Avondale, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",41.9327764,-87.71393697891779
Near North Health Service Corporation-Reavis School-Based,Better Birth Outcomes,"834 E. 50th ST. Chicago, IL 60615",Phone: (773) 268-7600 TTY: None Fax: (773) 268-9088  Website: www.nearnorthhealth.org,,60615,"834, East 50th Street, Kenwood, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",41.80469255,-87.60541046131257
Sinai Community Institute,Better Birth Outcomes,"2653 W Ogden Ave Chicago, IL 60608",Phone: (773) 257-6246 TTY: None   Website: www.sinai.org/content/sinai-community-institute,,60608,"Sinai Single Outpatient Center, 2653-2663, West Ogden Avenue, North Lawndale, Chicago, Cook County, Illinois, 60608, United States",41.8617056,-87.69294772565408
Sinai Community Institute,Better Birth Outcomes,"2735 W. 69th St. Chicago, IL 60629",Phone: (773) 257-3216 TTY: None Fax: (773) 257-6246  Website: https://www.sinaichicago.org/en/,,60629,"2735, West 69th Street, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",41.768291089572244,-87.6911612102241
Sinai Community Institute,Better Birth Outcomes,"3812 W. Ogden Ave. Chicago, IL 60623",Phone: (773) 257-3216 TTY: None Fax: (773) 257-6246  Website: www.sinaichicago.org/en/,,60623,"LCHC Belle Whaley, 3812, West Ogden Avenue, North Lawndale, Chicago, Cook County, Illinois, 60623, United States",41.8528533,-87.7204857
"Alternatives, Inc.",Comprehensive Community-Based Youth Services,"4730 N Sheridan Rd Chicago, IL 60640",Phone: (773) 506-7474 TTY: None   Website: http://alternativesyouth.org,"Hotline No. 773-730-2888 Service Area of Cook County: Rogers Park, West Ridge, Uptown, Lincoln Square, North Center, Lake View, Lincoln Park, Near North Side, Burnside, Greater Grand Crossing, Edgewater, Near South Side, Armour Square, Douglas, Oakland, Fuller Park, Grand Boulevard, Kenwood, Washington Park, Hyde Park, Woodlawn, South Shore, Chatham, and Avalon Park",60640,"4730, North Sheridan Road, Uptown Retail, Uptown, Chicago, Lake View Township, Cook County, Illinois, 60640, United States",41.96792628375796,-87.65491700383457
"Universal Family Connection, Inc.",Comprehensive Community-Based Youth Services,"1350 W 103rd St Chicago, IL 60643",Phone: (773) 881-1711 TTY: None   Website: www.ufcinc.org,"Hotline No. 877-870-2663 Service Area: LAN 77, LAN 80, LAN 82, LAN 84, LAN 85, & LAN 87",60643,"1350-1402, West 103rd Street, Beverly, Chicago, Lake Township, Cook County, Illinois, 60643, United States",41.7070954,-87.65725747140715
Youth Outreach Services - Austin Office,Comprehensive Community-Based Youth Services,"5910 W Division St Chicago, IL 60651",Phone: (773) 777-7112 TTY: None   Website: www.yos.org,24 Hour Crisis No. 773-777-7112 Service Area: LAN 67,60651,"5910, West Division Street, Austin, Chicago, Cook County, Illinois, 60651, United States",41.90211098552242,-87.77333433746111
Youth Outreach Services - Irving Park,Comprehensive Community-Based Youth Services,"6417 W Irving Park Rd Chicago, IL 60634",Phone: (773) 777-7112 TTY: None   Website: www.yos.org,24 Hour Crisis No. 773-777-7112 Service Area: LAN 63,60634,"6417, West Irving Park Road, Dunning, Chicago, Jefferson Township, Cook County, Illinois, 60634, United States",41.95281840451655,-87.78763688391938
Youth Outreach Services - West Side Association for Community Action,Comprehensive Community-Based Youth Services,"3600 W Ogden Ave Chicago, IL 60623",Phone: (773) 777-7112 TTY: None   Website: www.yos.org,24 Hour Crisis No. 773-777-7112 Service Area: LAN 63,60623,"3600, West Ogden Avenue, North Lawndale, Chicago, Cook County, Illinois, 60623, United States",41.85488895,-87.71526029572377
Community Service Options (CSO),Developmental Disability Services,"6845 S Western Ave Chicago, IL 60636",Phone: (773) 471-4700 TTY: (773) 471-4772 Fax: (773) 471-4770 Toll Free: (888) 276-4467 Website: http://www.cso1.org,Crisis after hours number: (773) 471-4700,60636,"6845, South Western Avenue, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60636, United States",41.76898060998574,-87.68325216936807
Connections for Abused Women & Their Children (CAWC),Domestic Violence Victim Services,"1116 N Kedzie Ave Chicago, IL 60651",Phone: (773) 489-9081 TTY: (773) 278-4114 Fax: (773) 489-6111  Website: www.cawc.org,24-hour hotline: (773) 278-4566,60651,"1116, North Kedzie Avenue, Humboldt Park, Chicago, Cook County, Illinois, 60651, United States",41.901747,-87.706865
"Healthcare Alternative Systems, Inc.",Domestic Violence Victim Services,"2755 West Armitage Avenue Chicago, IL 60647",Phone: (773) 252-3100 TTY: (773) 252-8945   Website: www.hascares.org,Provides walk-in advocacy services to Spanish-speaking victims of domestic violence. 24-hour hotline: (708) 429-7233.,60647,"2755, West Armitage Avenue, Bucktown, Logan Square, Chicago, Cook County, Illinois, 60647, United States",41.91741752880655,-87.696263234571
Lester and Rosalie Anixter Center,Domestic Violence Victim Services,"6610 N Clark St Chicago, IL 60626",Phone: (773) 248-9121 TTY: (773) 248-9174 Fax: (773) 248-9176  Website: www.chicagohearingsociety.org,Provides walk-in advocacy services to hearing impaired victims of domestic violence.,60626,"6610, North Clark Street, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",42.00211035,-87.67227850348308
Metropolitan Family Services,Domestic Violence Victim Services,"3843 W. 63rd St. Chicago, IL 60629",Phone: (312) 986-4000 TTY: None   Website: www.metrofamily.org,Provides criminal legal advocacy and walk-in advocacy services to victims of domestic violence.,60629,"3843, West 63rd Street, West Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",41.778431749999996,-87.71945601111443
Mujeres Latinas en Accion,Domestic Violence Victim Services,"2124 W. 21st Place Chicago, IL 60608",Phone: (773) 890-7676 TTY: None Fax: (773) 890-7650  Website: www.mujereslatinasenaccion.org,"Provides off-site emergency shelter, counseling, and support services to domestic violence victims. 24-hour hotline: (312) 738-5358.",60608,"2124, West 21st Place, Pilsen, Lower West Side, Chicago, Cook County, Illinois, 60608, United States",41.8533112,-87.67941729727677
Polish American Association,Domestic Violence Victim Services,"3834 N. Cicero Ave. Chicago, IL 60641",Phone: (773) 282-8206 TTY: None Fax: (773) 282-1324  Website: www.polish.org,Provides walk-in advocacy services to Polish-speaking victims of domestic violence. 24-hour hotline: (866) 305-3933.,60641,"Polish American Association, 3834, North Cicero Avenue, Grayland, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",41.9508219,-87.7474711
Hektoen Institute of Medicine (Child and Family Connections #9),Early Intervention,"5422 W. Roosevelt Rd. Chicago, IL 60644",Phone: (773) 830-5200 TTY: None Fax: (773) 830-5201 Toll Free: (844) 621-2911,"Child & Family Connections #9, Central/West Chicago",60644,"5422, West Roosevelt Road, Austin, Chicago, Cook County, Illinois, 60644, United States",41.865758,-87.759576
Access Ashland Family Health Center,Family Case Management,"5159 S Ashland Ave Chicago, IL 60609",Phone: (773) 434-9216 TTY: None Fax: (773) 434-2670  Website: www.achn.net,Family Case Management (Pregnant Women and Infants 0-1yr),60609,"ACCESS Ashland Family Health Center, 5159, South Ashland Avenue, New City, Chicago, Lake Township, Cook County, Illinois, 60609, United States",41.7997523,-87.6644558
Access Booker Family Health Center,Family Case Management,"654 E 47th St Chicago, IL 60653",Phone: (773) 584-4492 TTY: None Fax: (773) 624-5028  Website: www.achn.net,Family Case Management (Pregnant Women and Infants 0-1yr),60653,"646-654, East 47th Street, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",41.80969725,-87.60936617104818
Access Servicios Médicos La Villita,Family Case Management,"3303 W 26th St Chicago, IL 60623",Phone: (773) 522-5302 TTY: None Fax: (773) 277-1841  Website: www.achn.net,Family Case Management (Pregnant Women and Infants 0-1yr),60623,"ACCESS Servicios Médicos La Villita, 3303, West 26th Street, South Lawndale, Chicago, Cook County, Illinois, 60623, United States",41.8439357,-87.7078056
Access Southwest Family Health Center,Family Case Management,"4839 W 47th St Chicago, IL 60638",Phone: (773) 735-2345 TTY: None Fax: (773) 735-4025  Website: www.achn.net,Family Case Management (Pregnant Women and Infants 0-1yr),60638,"4839, West 47th Street, Archer Limits, Garfield Ridge, Chicago, Lake Township, Cook County, Illinois, 60638, United States",41.80742835,-87.74480455074576
Alivio Medical Center - Morgan Site,Family Case Management,"966 W 21st St Chicago, IL 60608",Phone: (312) 829-6018 TTY: None Fax: (312) 829-6822  Website: www.aliviomedicalcenter.org,Family Case Management (Pregnant Women and Infants 0-1yr),60608,"Alivio Medical Center, 966, West 21st Street, Pilsen, Lower West Side, Chicago, Cook County, Illinois, 60608, United States",41.85416295,-87.65097775
Alivio Medical Center - Western Site,Family Case Management,"2355 S Western Ave Chicago, IL 60608",Phone: (773) 650-1207 TTY: None Fax: (773) 650-1232  Website: www.aliviomedicalcenter.org,Family Case Management (Pregnant Women and Infants 0-1yr),60608,"2355, South Western Avenue, Lower West Side, Chicago, Cook County, Illinois, 60608, United States",41.84895013084775,-87.68544016936043
Aunt Martha's Health and Wellness Inc. - Chicago Heights,Family Case Management,"500 Dixie Hwy Chicago Heights, IL 60411",Phone: (708) 679-8102 TTY: None Fax: (708) 747-8135  Website: www.auntmarthas.org,Family Case Management (Pregnant Women and Infants 0-1yr),60411,"Aunt Martha's Chicago Heights Pediatric Health and Wellness Center, 500, Dixie Highway, Chicago Heights, Bloom Township, Cook County, Illinois, 60411, United States",41.5220766,-87.6520314
Aunt Martha's Health and Wellness Inc. - Women's HC,Family Case Management,"233 W Joe Orr Rd Chicago Heights, IL 60411",Phone: (708) 679-8102 TTY: None Fax: (708) 747-8135  Website: www.auntmarthas.org,Family Case Management (Pregnant Women and Infants 0-1yr),60411,"Community Health Fairs, 233, West Joe Orr Road, Chicago Heights, Bloom Township, Cook County, Illinois, 60411, United States",41.5209518,-87.6524482
Catholic Charities - Jadonal E. Ford Center,Family Case Management,"11255 S Michigan Ave Chicago, IL 60628",Phone: (773) 995-1737 TTY: None Fax: (773) 995-0125  Website: www.catholiccharities.net,Family Case Management (Pregnant Women and Infants 0 - 1yr),60628,"11255, South Michigan Avenue, Roseland, West Pullman, Chicago, Hyde Park Township, Cook County, Illinois, 60628, United States",41.69030888191264,-87.62091106661765
Community and Economic Development Association,Family Case Management,"4622 W Diversey Ave Chicago, IL 60639",Phone: (773) 545-7782 TTY: None Fax: (773) 545-7597  Website: www.cedaorg.net,Family Case Management (Pregnant Women and Infants 0-1yr),60639,"4622, West Diversey Avenue, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",41.931668147324956,-87.74249245113734
Community and Economic Development Association-Irving,Family Case Management,"3948 N. Lowell Ave Chicago, IL 60641",Phone: (773) 545-7782 TTY: None Fax: (773) 545-7597  Website: www.cedaorg.net,,60641,"3948, North Lowell Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",41.952620069300195,-87.7368820463047
Erie Division Street Health Center,Family Case Management,"2418 W Division St Chicago, IL 60622",Phone: (312) 666-3494 TTY: None Fax: (312) 666-6228  Website: www.eriefamilyhealth.org,Family Case Management (Pregnant Women and Infants 0 - 1yr),60622,"2418, West Division Street, West Town, Chicago, Cook County, Illinois, 60622, United States",41.903088607041276,-87.68806807894562
Erie Helping Hands Health Center,Family Case Management,"4747 N Kedzie Ave Chicago, IL 60625",Phone: (312) 666-3494 TTY: None Fax: (312) 666-6228  Website: www.eriefamilyhealth.org,Family Case Management (Pregnant Women and Infants 0 - 1yr),60625,"4747-4751, North Kedzie Avenue, Ravenswood Manor, Albany Park, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",41.9680941,-87.70811429631433
Erie Humboldt Park Health Center,Family Case Management,"2750 W North Ave Chicago, IL 60647",Phone: (312) 666-3494 TTY: None Fax: (312) 666-6228  Website: www.eriefamilyhealth.org,Family Case Management (Pregnant Women and Infants 0 - 1yr),60647,"2750, West North Avenue, West Town, Chicago, Cook County, Illinois, 60647, United States",41.91031910300217,-87.69620217656289
Erie Teen & Young Adult Center,Family Case Management,"2418 W Division St Chicago, IL 60622",Phone: (312) 666-3494 TTY: None Fax: (312) 666-6228  Website: www.eriefamilyhealth.org,Family Case Management (Pregnant Women and Infants 0 - 1yr),60622,"2418, West Division Street, West Town, Chicago, Cook County, Illinois, 60622, United States",41.903088607041276,-87.68806807894562
Firman Community Services,Family Case Management,"37 W 47th St Chicago, IL 60609",Phone: (773) 373-3400 TTY: None Fax: (773) 373-3602  Website: www.firmancs.org,Family Case Management (Pregnant Women and Infants 0-1yr),60609,"37, West 47th Street, Grand Boulevard, Chicago, Lake Township, Cook County, Illinois, 60609, United States",41.80912722330725,-87.62750207737592
Firman Community Services,Family Case Management,"4705 S State St Chicago, IL 60609",Phone: (773) 373-3400 TTY: None Fax: (773) 373-6749  Website: www.firmancs.org,Family Case Management (Pregnant Women and Infants 0-1yr) ,60609,"4705, South State Street, Grand Boulevard, Chicago, Lake Township, Cook County, Illinois, 60609, United States",41.80904979420171,-87.62596917973254
Firman Community Services,Family Case Management,"144 W 47th St Chicago, IL 60609",Phone: (773) 373-3400 TTY: None Fax: (773) 373-3602  Website: www.firmancs.org,Family Case Management (Pregnant Women and Infants 0-1yr) ,60609,"142-144, West 47th Street, Fuller Park, Chicago, Lake Township, Cook County, Illinois, 60609, United States",41.809442849999996,-87.6299731
Human Resourceds Development Institute - HRDI,Family Case Management,"8151 S Western Ave Chicago, IL 60620",Phone: (773) 863-1452 TTY: None Fax: (773) 863-1530  Website: www.hrdi.org,Family Case Management (Pregnant Women and Infants 0-1yr) ,60620,"8151, South Western Avenue, Ashburn, Chicago, Lake Township, Cook County, Illinois, 60620, United States",41.744768,-87.682611
